,Firmenname / COMPANY NAME,rating,reviews,Branche / INDUSTRY,Strasse / Street,Stadt / City,Land / COUNTRY,opening_hours,phone_number,website
20,Afro Lydia Hair Salon,4.7,(61),Beauty salon,Goebenstraße 7,berlin,Germany,,+49 176 32844120,http://www.afrolydia-berlin.de/
2,Aveda Lifestyle Salon & Spa,4.3,(121),Beauty salon,Kurfürstendamm 26A,berlin,Germany,,+49 30 88708790,http://www.aveda.de/
9,Berlin Hair Care Salon,4.7,(31),Hair salon,"Vorderhaus, Gartenstraße 2, 10115 Berlin (1.st Floor, Gartenstraße",berlin,Germany,Opens at 10:00 AM ·,+49 176 70634368,http://www.berlinhaircare.de/
5,EPN Germany Berlin,4.0,(2),Nail salon,"Halle 1, Raum 124, Herzbergstraße 128",berlin,Germany,,+49 30 20078662,http://www.maicagermany.de/e-vendo.php?SessionId=&a=templ&template=impressum
10,Girly Beauty Lounge,4.9,(81),Nail salon,Mulackstraße 20,berlin,Germany,,+49 30 37475020,https://girlybeautylounge.mytreatwell.de/
6,Glowy Beauty Bar,4.2,(107),Beauty salon,Rochstraße 17,berlin,Germany,,+49 30 25763120,http://www.glowybeautybar.com/
14,HOSHI COUPE Berlin,4.3,(147),Beauty salon,Garnisonkirchplatz 2,berlin,Germany,,+49 30 27891720,http://hoshicoupe.com/
17,Hair & Make Up Artist Maurice Klostermann,4.7,(111),Beauty salon,Bamberger Str. 8,berlin,Germany,,+49 30 91539038,http://www.stylist-maurice.de/
3,Hair Sweet Hair,4.4,(126),Beauty salon,Fuldastraße 41,berlin,Germany,,+49 30 95602840,http://hairsweethair.de/
8,Innovativer beauty Salon NaTania / Салон красоты,4.2,(12),Beauty salon,Windscheidstraße 1,berlin,Germany,,+49 30 68079111,http://www.innovative-beauty.de/
12,JANA HAIR CLASS,4.1,(60),Hair salon,Berliner Freiheit 2,berlin,Germany,,+49 30 26101920,http://www.janaeichler.de/
11,K & K Beauty | Your beauty salon in Berlin Mitte,4.6,(20),Beauty salon,Dircksenstraße 42,berlin,Germany,,+49 30 28387890,https://www.k-k-kosmetik.de/
15,MU Berlin,4.8,(74),Hair salon,Linienstraße 154A,berlin,Germany,,+49 30 97005704,http://www.mu-berlin.de/
13,Milan's,4.7,(40),Hair salon,Mommsenstraße 68,berlin,Germany,,+49 30 8816667,http://www.milans.de/
18,Penthouse111 Manuel Wester,4.3,(33),Beauty salon,Dresdener Str. 111,berlin,Germany,,+49 30 92283189,http://www.penthouse111.de/
0,"Sauber, schmerzlos, schön..",4.8,(63),Beauty salon,Pichelsdorfer Str. 35,berlin,Germany,,+49 30 23904367,https://www.google.com/aclk?sa=l&ai=DChcSEwjxtfm41pjpAhXKESsKHZUjCm8YABAAGgJzZg&sig=AOD64_1XhRPVldrAL4erEJEOWi2X0qbseQ&adurl&rct=j&q&ctype=99
19,TONI&GUY Berlin Knesebeckstraße,4.1,(60),Hair salon,Knesebeckstraße 35,berlin,Germany,,+49 30 88912745,http://toniandguy.de/
16,Wolfgang Zimmer,3.8,(21),Beauty salon,Rosenthaler Str. 36,berlin,Germany,,+49 30 8813206,http://www.wolfgangzimmer-friseur.de/
1,icono germany GmbH,5.0,(9),Beauty salon,Linienstraße 152,berlin,Germany,Opens at 8:00 AM ·,+49 30 3088160,http://www.icono.de/
7,iramasure,4.7,(153),Beauty salon,Winterfeldtstraße 13,berlin,Germany,,+49 30 34503066,https://www.iramasure.de/
4,peter arnheim haare & makeup Berlin,4.8,(49),Beauty salon,Keithstraße 17,berlin,Germany,Opens at 10:00 AM ·,+49 30 85407807,http://www.peterarnheim.de/
